DanualPXC,Male,7902.97,123.1,276.47,1002.4,4955.8,0,19,1770
cesilva212,Female,818.8,181.69,402.19,0,0,0,24,656
teagsted,Male,469.92,0,0,0,0,0,18,334
donovanleininger,Male,291.15,0,0,0,0,0,15,405
natehenson,Male,1496.56,0,0,0,0,0,15,686
jmaluso,Female,888.41,0,0,0,0,0,20,128
sisu508,Male,12510.04,0,298.46,1075.0,5331.0,0,29,3779
trystanthayer,Male,2633.45,0,0,0,0,0,20,389
feldgeld,Male,2428.46,0,292.85,1031.0,0,0,29,2359
Togood1992,Male,8639.2,119.66,291.0,1032.0,4917.0,10690.0,25,2519
BriannaCoyxc1997,Female,4577.55,0,0,0,0,0,21,1041
marscavuz,Female,7382.4,0,291.62,994.6,0,0,21,1021
Amanda3048,Female,3010.74,0,0,1545.0,0,0,0,2512
Cich,Male,4460.31,0,0,0,0,0,21,990
evanakers,Male,3692.11,123.7,268.38,958.2,0,0,17,1060
sarahcar,Female,422.61,175.0,368.0,1304.0,0,0,18,315
mattbout,Male,5293.48,0,0,0,0,0,20,652
marshallmathers,Male,13910.15,133.6,292.63,1003.6,0,0,22,2790
chickenlegs,Male,24934.5,0,292.68,2247.0,4362.0,9380.0,50,3991
JohnBaker,Male,6303.9,0,0,967.12,0,0,22,679
sijack08,Male,17100.38,0,316.22,893.76,4528.2,0,27,2131
LukeLovesRunning,Male,1081.88,0,0,1070.53,0,0,16,693
Lexikranich54,Female,543.37,0,0,0,0,0,16,320
mtank,Male,11406.84,151.64,317.86,1134.71,5290.0,13400.0,23,3166
baileyburns,Male,159.8,0,0,0,0,0,19,99
dutkat68,Female,4635.15,0,329.0,1130.0,0,0,21,1402
mariaremillard,Female,4688.41,0,354.0,1188.0,0,0,22,1077
Dame,Male,14929.45,0,263.0,873.21,4015.0,0,0,2458
ajiovoli,Male,16823.41,121.26,264.5,985.05,0,10731.0,25,2493
daymt17,Male,1506.95,0,0,0,0,0,18,289
kenzie.lee,Female,1013.65,0,0,0,0,0,20,337
Whitneywendling,Female,1460.55,0,0,0,0,0,19,307
GoFish,Female,11001.69,0,0,1340.22,6593.91,17750.05,0,3882
brianclaytonxc,Male,1917.21,0,0,1010.0,0,0,18,596
BJB,Male,8897.09,0,0,901.0,5364.0,0,32,4035
Nellis,Male,4713.33,0,0,0,0,0,17,1417
HayBlood,Male,1562.61,0,0,0,0,0,19,766
SlaterG,Male,1249.64,0,0,0,0,0,18,331
xcmiler,Male,3343.48,0,0,0,0,0,22,1038
Jcdombrowski,Male,1299.32,0,0,0,0,0,17,678
Regan_S,Female,3420.34,0,0,0,0,0,19,631
Laytonw,Male,11707.34,0,263.77,895.7,0,0,21,1072
gmcleod,Male,330.12,0,0,0,0,0,16,656
jla2,Female,2941.13,140.41,318.63,0,0,0,20,682
mhb91,Male,1611.04,124.0,292.68,1083.0,0,0,22,719
pschwan,Male,1172.37,0,0,0,0,0,41,1105
Abarton,Male,434.33,0,0,952.0,0,0,21,57
harrierpotter,Male,1572.87,0,0,987.1,0,0,20,275
hoffmanmax96,Male,6353.83,0,271.08,920.0,0,0,21,1050
rnholmes,Female,5076.42,150.0,331.0,1201.71,0,0,21,975
annabartlett1,Female,2473.72,0,0,0,0,0,20,1046
laurencejaross,Male,6465.03,0,0,0,0,0,22,1424
Robbinsa,Male,9441.82,0,264.82,893.0,0,0,21,1329
wmccoy,Male,6488.64,0,277.56,933.0,0,0,20,995
lahrx073,Male,4522.5,0,259.08,891.0,4503.0,0,21,698
cavetoad,Male,11700.5,0,0,0,0,0,0,3707
Adamwade,Male,292.0,0,0,0,0,0,15,159
mclark11,Female,1436.53,0,373.0,0,0,0,21,303
ErinWhit,Female,328.39,0,0,0,0,0,43,74
Duffman14,Male,12081.14,118.44,273.72,1009.51,0,0,0,4317
sfamiler,Male,349.61,0,0,0,0,0,39,323
Maddy_Wolf02,Female,15.0,0,0,0,0,0,15,1
rivabanks,Male,18646.45,0,0,897.0,4150.0,8976.0,37,4402
LaFave77,Male,3439.72,0,0,0,0,0,20,667
StevenBAAH23,Male,2140.53,144.0,301.81,0,0,0,16,490
JoeNovak1,Male,1416.49,0,0,0,0,0,21,300
bennmaki,Male,2711.46,0,0,0,0,0,24,1387
ktkess21,Female,15271.04,132.78,320.28,1139.1,5282.0,0,26,3967
JLange,Male,2622.9,0,280.3,978.0,0,0,20,467
camzaman98,Male,1232.65,0,0,0,0,0,19,644
runnermike79,Male,909.4,0,0,0,0,0,57,205
nmarino14,Male,9374.05,123.0,264.6,922.0,0,0,21,1035
sheaw,Male,3351.4,133.0,255.88,957.0,0,0,0,667
BWill,Male,1515.8,0,0,0,0,0,18,242
dham181,Male,4256.67,0,0,0,0,0,21,1047
cody-tripp,Male,731.92,61.51,287.0,0,0,0,19,318
epenner,Female,6139.93,148.16,271.8,1173.0,0,0,22,1072
willtmakinen,Male,2982.03,123.0,269.55,998.0,0,0,17,868
JaxonMannDos,Male,252.67,0,0,0,0,0,15,259
tsturgeon4,Female,7137.88,0,0,0,7102.0,0,35,3237
samsackrider,Male,541.5,0,0,0,0,0,15,149
Puffycheetos411,Male,12634.79,126.77,280.63,963.0,0,0,28,3519
lilgermangirl,Female,4852.1,0,0,0,0,12831.0,22,964
michelle.bloom,Female,1011.74,0,0,1274.0,0,0,19,320
Emmilu,Female,998.01,0,0,0,0,0,18,240
edwards_ben,Male,2748.81,0,0,0,0,0,20,505
carriebalzer,Female,814.38,0,0,0,0,0,16,324
