mbaxter,Male,4241.95,0,0,0,0,0,20,659
jhershfang,Female,12644.02,0,0,0,0,0,25,1787
JefeOfRunning,Male,7960.25,0,0,0,0,0,0,1184
marklemcd,Male,6613.37,0,0,0,0,0,40,399
joshdiehl,Male,1130.8,0,0,0,0,0,13,686
tckramer,Male,6120.25,0,0,2100.0,0,0,51,2339
wintersd,Male,2483.29,0,0,0,0,0,19,310
meganparks,Female,11431.49,0,0,0,0,0,23,1784
JoeyPalumbo,Male,1138.13,0,0,0,0,0,20,170
malcmalc3,Male,3809.1,121.17,281.17,947.5,0,0,22,1705
dwin[c],Male,2414.55,0,0,0,0,0,24,388
charcoll,Female,14375.3,147.0,314.56,1129.46,5293.0,0,26,2882
heharrell,Male,12526.74,0,0,1065.0,5760.0,10972.0,50,4651
konair,Male,11483.61,128.0,277.6,943.79,4939.0,12386.0,27,3946
sburazin,Male,2580.27,0,0,1062.04,0,0,19,323
randykuvin,Male,4526.05,0,0,1386.0,7186.0,16592.0,55,2654
dawn262,Female,1553.0,0,0,0,0,20160.0,45,471
PatFromNewton,Male,1324.88,0,0,0,0,0,59,620
SanibelRunner,Male,2865.72,0,0,0,0,0,69,875
abigailwest,Female,3361.17,0,0,1259.0,5977.0,0,32,962
Letta24,Female,3036.38,154.0,312.5,1091.5,0,0,20,608
Faz,Male,2332.23,0,0,1250.0,0,0,66,447
olimar,Male,564.28,0,0,1934.0,0,0,49,1412
kwilker,Female,2242.6,0,0,0,0,0,18,268
DFish,Female,17079.87,0,325.88,1069.0,4878.0,10316.0,0,0
Cassidi16,Female,2855.25,142.0,324.0,1206.0,0,0,20,681
teddy_farley,Male,23405.78,128.0,274.0,907.54,0,0,26,877
Timstraffen24,Male,3888.66,0,0,0,0,0,28,664
KRO90,Male,6600.27,1023.0,293.76,1020.0,5239.0,0,26,2794
BrandonDworak,Male,38210.73,121.0,265.1,872.49,3997.8,8446.0,30,3890
athena_welsh,Female,10836.64,0,0,0,0,0,20,2154
Harvsauce,Male,2865.16,130.0,282.71,988.0,5541.0,0,27,3369
jakehills,Male,1392.06,0,297.85,1051.0,5144.0,0,20,328
BrianKShapiro,Male,3890.2,0,0,0,0,0,37,825
Connorpulvidente,Male,10911.59,0,271.0,909.0,0,0,22,1077
jwmccullough,Male,35875.66,0,264.12,888.06,4063.0,9172.0,41,2683
Michael108,Male,27.5,0,0,0,0,0,49,23
kechapman0821,Female,3462.58,0,331.0,1099.0,0,0,18,1787
kleisher,Female,7363.14,0,293.8,1026.09,0,0,20,1060
rhutchcraft,Female,7150.62,0,0,0,0,0,21,1045
iiracing,Male,5286.42,0,0,1235.49,5790.0,0,48,2018
emilyborchers,Female,2500.16,0,0,1068.0,0,0,21,269
tara14,Female,9233.06,153.0,308.15,1058.0,5571.0,0,24,2172
PieceOfDatCorn,Male,34822.3,0,255.3,895.0,4188.0,9464.0,33,2865
Ebenezer_Agaro,Male,12777.37,0,278.33,949.4,4465.0,0,23,1792
Ford,Male,27467.18,121.25,277.0,979.0,4508.0,9682.0,30,4628
CMaloy,Male,8964.36,0,256.0,857.0,5892.0,0,25,1185
runningkelly,Male,4388.45,0,0,0,0,0,68,3774
joeters,Male,7272.91,0,263.52,971.0,0,0,21,858
bdanner,Male,4063.51,0,0,0,0,0,58,1520
davecarter4,Male,882.77,0,0,0,0,0,30,160
ErbyAtkins,Female,38542.45,141.5,289.0,999.0,4425.0,9195.0,31,3701
ebrower,Male,10482.59,0,277.56,967.0,0,0,23,1644
nashrunner,Male,18876.43,0,266.95,901.5,4420.0,10012.0,30,2788
Puse,Male,10377.5,0,268.0,934.0,0,0,22,1029
cpost,Male,18203.17,0,272.62,951.0,4377.0,10167.0,29,2072
MoviesMaxwell,Male,3407.97,0,0,0,0,0,19,1392
mrb8,Male,46874.82,0,273.58,896.0,3990.0,8334.0,36,4336
ktless13,Female,14570.72,170.0,362.88,1219.0,0,0,27,3450
mvk007,Male,3125.51,0,0,0,0,0,38,841
adidasport15,Male,24772.28,137.0,277.07,913.0,4074.0,8765.0,28,3970
jeancarson,Female,6833.33,141.68,305.0,1166.83,5620.0,0,19,2922
lmatzke98,Male,1977.81,0,0,1119.02,0,0,19,311
Cheltor,Male,8863.64,116.39,0,1010.49,0,0,27,3611
LS3,Male,4460.04,73.0,255.0,0,0,0,21,953
RileyH,Male,5596.3,0,374.17,0,0,0,19,681
mtharakan,Male,3940.78,128.0,282.63,1018.8,0,0,17,694
birdie.small,Female,26.1,0,0,0,0,0,19,56
edwards706,Male,26042.98,114.06,236.62,818.78,4165.0,0,29,4170
mferraxc,Female,13455.1,141.6,299.12,1092.0,5714.0,0,27,4157
colton.rod,Male,500.98,0,0,0,0,0,25,156
joierakerson,Female,8741.28,0,328.14,1142.0,0,0,22,1780
egustafsson,Female,1294.62,0,320.76,0,0,0,20,246
Sophia.Robinson,Female,5622.84,0,374.07,0,0,0,23,2130
erichansen,Male,6614.0,116.0,256.46,991.0,0,0,22,1780
adamgeorge775,Male,14334.62,0,0,899.0,0,0,22,717
RENTNER!!!,Female,4245.66,0,0,0,5952.0,12926.0,24,877
amansur,Female,18872.2,0,0,1171.0,5290.0,11272.0,29,2515
bd2531,Female,5324.76,0,0,1240.0,0,0,22,1409
Butler,Male,27135.07,0,0,899.0,4074.0,8804.0,0,0
gabipatpat,Female,9854.53,0,371.0,1238.0,5780.0,12896.0,26,2750
BDerr7,Male,10490.53,117.15,268.92,956.17,0,0,25,2490
clintoris,Male,21959.57,120.19,252.24,865.0,4042.0,0,26,3629
flavinjp,Male,7143.98,0,0,875.0,0,0,19,673
Skylar.Grant,Female,2206.45,0,0,0,0,0,16,507
taylor_barnes01,Female,2363.81,0,356.4,1122.0,0,0,19,322
loves2breed,Male,9106.05,116.0,255.85,933.99,0,0,21,1405
kmajones91,Male,625.94,0,0,0,0,0,48,244
Knelson5,Female,2899.66,125.82,274.11,0,0,0,21,591
Ally.Smith,Female,47.55,0,0,0,0,0,21,55
lksfoley,Female,4765.45,0,0,1086.0,5232.0,11466.0,41,903
morgangraff,Female,1775.5,0,0,0,0,0,19,348
M_Hostettler,Female,2234.32,0,0,0,0,0,19,328
PaulHenry78,Male,4558.61,114.09,308.0,1005.0,0,0,20,1036
M_Ward94,Male,10930.43,111.46000000000001,242.28,834.49,0,0,23,1385
russj,Male,4498.06,0,0,1297.0,7543.0,0,60,3597
sgrant,Male,17866.34,121.93,272.86,974.7,4626.0,0,28,3576
eschwartz,Male,31620.17,0,263.08,864.0,4048.0,8297.0,24,2833
